================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
   -1.234252709129210e-07     1.800560416632906e+03
   -1.122047917390507e-07     1.779236227826861e+03
   -1.020043561264359e-07     1.758164583156712e+03
   -9.273123284223610e-08     1.737342491724349e+03
   -8.430112076568707e-08     1.716766998052775e+03
   -7.663738251427575e-08     1.696435181666648e+03
   -6.967034774026286e-08     1.676344156677774e+03
   -6.333667976388541e-08     1.656491071375526e+03
   -5.757879978535874e-08     1.636873107822101e+03
   -5.234436344124211e-08     1.617487481452569e+03
   -4.758578494658942e-08     1.598331440679645e+03
   -4.325980449690418e-08     1.579402266503175e+03
   -3.932709499718949e-08     1.560697272124192e+03
   -3.575190454290277e-08     1.542213802563589e+03
   -3.250173140264153e-08     1.523949234285283e+03
   -2.954702854785814e-08     1.505900974823840e+03
   -2.686093504350920e-08     1.488066462416519e+03
   -2.441903185773714e-08     1.470443165639661e+03
   -2.219911987067137e-08     1.453028583049402e+03
   -2.018101806424772e-08     1.435820242826610e+03
   -1.834638005840787e-08     1.418815702426057e+03
   -1.667852732582603e-08     1.402012548229729e+03
   -1.516229756893333e-08     1.385408395204239e+03
   -1.378390688084896e-08     1.369000886562315e+03
   -1.253082443713582e-08     1.352787693428266e+03
   -1.139165857921470e-08     1.336766514507442e+03
   -1.035605325383181e-08     1.320935075759580e+03
   -9.414593867120055e-09     1.305291130076050e+03
    1.904229624638289e+02     9.851754084825441e+03
    1.731530404311182e+02     1.094382392402612e+04
    1.574454392308656e+02     1.198570897127674e+04
    1.431594374625991e+02     1.296149242508247e+04
    1.301669058022784e+02     1.385962789638247e+04
    1.183511926713568e+02     1.467282932926719e+04
    1.076061045956901e+02     1.539765692203959e+04
    9.783497485310208e+01     1.603391289579908e+04
    8.894981400165747e+01     1.658395422682699e+04
    8.087053584265738e+01     1.705200860098645e+04
    7.352425245116660e+01     1.744355301044461e+04
    6.684463215194936e+01     1.776478827651418e+04
    6.077131470657586e+01     1.802222143831896e+04
    5.524937845104279e+01     1.822235295191718e+04
    5.022885462344282e+01     1.837145673635491e+04
    4.566428460381299e+01     1.847543705892029e+04
    4.151431622806845e+01     1.853974557432472e+04
    3.774133572551205e+01     1.856934316555610e+04
    3.431113216569948e+01     1.856869354090386e+04
    3.119259159154572e+01     1.854177812711612e+04
    2.835741826920189e+01     1.849212425455092e+04
    2.577988070875296e+01     1.842284075604670e+04
    2.343658030925938e+01     1.833665683061000e+04
    2.130624066172893e+01     1.823596136618037e+04
    1.936951570762769e+01     1.812284092039735e+04
    1.760881510089627e+01     1.799911528520713e+04
    1.600814525980589e+01     1.786637007051112e+04
    1.455296472256942e+01     1.772598608702229e+04
    1.323005253831943e+01     1.757916553286932e+04
    1.202738853360468e+01     1.742695512672748e+04
    1.093404439455653e+01     1.727026640855968e+04
    9.940084596899940e+00     1.710989346678121e+04
    9.036476300552220e+00     1.694652836180883e+04
    8.215007403171228e+00     1.678077451040786e+04
    7.468212018163400e+00     1.661315827985155e+04
    6.789302707807486e+00     1.644413902028729e+04
    6.172108861737412e+00     1.627411774090837e+04
    5.611020665482494e+00     1.610344461250218e+04
    5.100938153489077e+00     1.593242545685577e+04
    4.637224886424280e+00     1.576132736301016e+04
    4.215665833946701e+00     1.559038355177564e+04
    3.832429081853442e+00     1.541979759335705e+04
    3.484031016886806e+00     1.524974706834038e+04
    3.167304673794191e+00     1.508038674955280e+04
    2.879370957745520e+00     1.491185137126178e+04
    2.617612481167832e+00     1.474425804265281e+04
    2.379649777680429e+00     1.457770835434243e+04
    2.163319677311751e+00     1.441229021967524e+04
    1.966655646739545e+00     1.424807948656412e+04
    1.787869916090815e+00     1.408514135052184e+04
    1.625337230025631e+00     1.392353159517403e+04
    1.477580075552464e+00     1.376329768283016e+04
    1.343255252414110e+00     1.360447971452411e+04
    1.221141664061874e+00     1.344711127623749e+04
    1.110129218310998e+00     1.329122018571811e+04
    1.009208736841629e+00     1.313682915234183e+04
    9.174627818677157e-01     1.298395636078569e+04
    8.340573166234950e-01     1.283261598784596e+04
    7.582341238889884e-01     1.268281866050186e+04
    6.893039136603986e-01     1.253457186227113e+04
    6.266400573308357e-01     1.238788029399493e+04
    5.696728914379904e-01     1.224274619440823e+04
    5.178845392097411e-01     1.209916962517808e+04
    4.708042028431082e-01     1.195714872450915e+04
    4.280038837290662e-01     1.181667993291193e+04
    3.890944917243014e-01     1.167775819429212e+04
    3.537223081062843e-01     1.154037713513876e+04
    3.215657700621158e-01     1.140452922425932e+04
    2.923325474836476e-01     1.127020591522034e+04
    2.657568854979045e-01     1.113739777340102e+04
    2.415971885769543e-01     1.100609458934629e+04
    2.196338242670127e-01     1.087628547991317e+04
    1.996671265726709e-01     1.074795897853396e+04
    1.815155808468271e-01     1.062110311577095e+04
    1.650141736866569e-01     1.049570549120602e+04
    1.500128928357794e-01     1.037175333759268e+04
    1.363753634562668e-01     1.024923357809529e+04
    1.239776083737153e-01     1.012813287735069e+04
    1.127069210254888e-01     1.000843768700664e+04
    1.024608408667120e-01     9.890134286320632e+03
    9.314622191993693e-02     9.773208818340094e+03
    8.467838600109395e-02     9.657647322128814e+03
    7.698035292406023e-02     9.543435761454686e+03
    6.998214068593900e-02     9.430560050309798e+03
    6.362012927128702e-02     9.319006075594680e+03
    5.783648229184939e-02     9.208759717263176e+03
    5.257862120411189e-02     9.099806866193405e+03
    4.779874732493585e-02     8.992133440022173e+03
    4.345340730005273e-02     8.885725397155733e+03
    3.950309807520358e-02     8.780568749146851e+03
    3.591190777881286e-02     8.676649571609216e+03
    3.264718925154270e-02     8.573954013821425e+03
    2.967926325485546e-02     8.472468307157907e+03
    2.698114866051446e-02     8.372178772469277e+03
    2.452831716822794e-02     8.273071826522022e+03
    2.229847032161976e-02     8.175133987596257e+03
    2.027133679541814e-02     8.078351880330046e+03
    1.842848811103457e-02     7.982712239889215e+03
    1.675317110523279e-02     7.888201915534143e+03
    1.523015562888657e-02     7.794807873647216e+03
    1.384559609127822e-02     7.702517200277822e+03
    1.258690559125710e-02     7.611317103256682e+03
    1.144264149100188e-02     7.521194913925164e+03
    1.040240139215297e-02     7.432138088521145e+03
    9.456728568647814e-03     7.344134209258101e+03
    8.597025996560894e-03     7.257170985131077e+03
    7.815478199404325e-03     7.171236252479091e+03
    7.104980198394117e-03     7.086317975330599e+03
    6.459072921777384e-03     7.002404245556404e+03
    5.871884486034065e-03     6.919483282851083e+03
    5.338076815147323e-03     6.837543434562487e+03
    4.852797112664224e-03     6.756573175386588e+03
    4.411633745384605e-03     6.676561106943047e+03
    4.010576137621428e-03     6.597495957245712e+03
    3.645978311435628e-03     6.519366580080100e+03
    3.314525741393555e-03     6.442161954299461e+03
    3.013205222527003e-03     6.365871183049188e+03
    2.739277477568591e-03     6.290483492928629e+03
    2.490252254437579e-03     6.215988233098428e+03
    2.263865687589934e-03     6.142374874340340e+03
    2.058059717426863e-03     6.069633008076446e+03
    1.870963380665747e-03     5.997752345352931e+03
    1.700875801586030e-03     5.926722715794202e+03
