================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
   -7.236317641526727e+00     1.026868958883371e+00
   -7.335869614499125e+00     1.026108153906329e+00
   -7.436636464194806e+00     1.025338282285059e+00
   -7.538633794045150e+00     1.024559233186795e+00
   -7.641877479805640e+00     1.023770893963740e+00
   -7.746383676168454e+00     1.022973150111353e+00
   -7.852168823575155e+00     1.022165885225459e+00
   -7.959249655236256e+00     1.021348980958114e+00
   -8.067643204365780e+00     1.020522316972185e+00
   -8.177366811638466e+00     1.019685770894611e+00
   -8.288438132877772e+00     1.018839218268293e+00
   -8.400875146983349e+00     1.017982532502556e+00
   -8.514696164106917e+00     1.017115584822151e+00
   -8.629919834086001e+00     1.016238244214723e+00
   -8.746565155144946e+00     1.015350377376711e+00
   -8.864651482874050e+00     1.014451848657609e+00
   -8.984198539496537e+00     1.013542520002527e+00
   -9.105226423435523e+00     1.012622250893006e+00
   -9.227755619191798e+00     1.011690898286003e+00
   -9.351807007545000e+00     1.010748316550994e+00
   -9.477401876090809e+00     1.009794357405109e+00
   -9.604561930127474e+00     1.008828869846247e+00
   -9.733309303905511e+00     1.007851700084066e+00
   -9.863666572255273e+00     1.006862691468795e+00
   -9.995656762607656e+00     1.005861684417770e+00
   -1.012930336742380e+01     1.004848516339599e+00
   -1.026463035705057e+01     1.003823021555893e+00
   -1.040166219301967e+01     1.002785031220427e+00
   -1.054042384180813e+01     1.001734373235665e+00
   -1.068094078908021e+01     1.000670872166534e+00
   -1.082323905443045e+01     9.995943491513194e-01
   -1.096734520664936e+01     9.985046218095984e-01
   -1.111328637953401e+01     9.974015041470660e-01
   -1.126109028826665e+01     9.962848064571379e-01
   -1.141078524638653e+01     9.951543352191997e-01
   -1.156240018338030e+01     9.940098929933564e-01
   -1.171596466291826e+01     9.928512783115468e-01
   -1.187150890176504e+01     9.916782855648636e-01
   -1.202906378939500e+01     9.904907048869200e-01
   -1.218866090834353e+01     9.892883220331009e-01
   -1.235033255532767e+01     9.880709182555155e-01
   -1.251411176317157e+01     9.868382701734707e-01
   -1.268003232357308e+01     9.855901496392704e-01
   -1.284812881075061e+01     9.843263235991364e-01
   -1.301843660601137e+01     9.830465539490365e-01
   -1.319099192328436e+01     9.817505973851923e-01
   -1.336583183566337e+01     9.804382052490339e-01
   -1.354299430300860e+01     9.791091233663441e-01
   -1.372251820065772e+01     9.777630918803361e-01
   -1.390444334929954e+01     9.763998450783853e-01
   -1.408881054606847e+01     9.750191112121178e-01
   -1.427566159691820e+01     9.736206123105555e-01
   -1.446503935033933e+01     9.722040639859875e-01
   -1.465698773248783e+01     9.707691752322263e-01
   -1.485155178379570e+01     9.693156482148867e-01
   -1.504877769713872e+01     9.678431780533058e-01
   -1.524871285764210e+01     9.663514525936994e-01
   -1.545140588420817e+01     9.648401521731285e-01
   -1.565690667285645e+01     9.633089493738211e-01
   -1.586526644197096e+01     9.617575087673812e-01
   -1.607653777955668e+01     9.601854866483674e-01
   -1.629077469261311e+01     9.585925307567111e-01
   -1.650803265873809e+01     9.569782799884119e-01
   -1.672836868008524e+01     9.553423640939005e-01
   -1.695184133980344e+01     9.536844033634364e-01
   -1.717851086109646e+01     9.520040082988662e-01
   -1.740843916905053e+01     9.503007792710136e-01
   -1.764168995538500e+01     9.485743061619548e-01
   -1.787832874629420e+01     9.468241679913547e-01
   -1.811842297355889e+01     9.450499325260062e-01
   -1.836204204911647e+01     9.432511558716592e-01
   -1.860925744329490e+01     9.414273820461572e-01
   -1.886014276692615e+01     9.395781425328473e-01
   -1.911477385757345e+01     9.377029558131503e-01
   -1.937322887011995e+01     9.358013268771133e-01
   -1.963558837198628e+01     9.338727467106789e-01
   -1.990193544326327e+01     9.319166917583307e-01
   -2.017235578206554e+01     9.299326233596730e-01
   -2.044693781543634e+01     9.279199871584053e-01
   -2.072577281615664e+01     9.258782124820515e-01
   -2.100895502583952e+01     9.238067116906734e-01
   -2.129658178471746e+01     9.217048794926982e-01
   -2.158875366856492e+01     9.195720922258165e-01
   -2.188557463322950e+01     9.174077071007970e-01
   -2.218715216728312e+01     9.152110614058842e-01
   -2.249359745334741e+01     9.129814716692699e-01
   -2.280502553868718e+01     9.107182327769603e-01
   -2.312155551571934e+01     9.084206170431277e-01
   -2.344331071313293e+01     9.060878732298466e-01
   -2.377041889837742e+01     9.037192255128396e-01
   -2.410301249233760e+01     9.013138723896086e-01
   -2.444122879708361e+01     8.988709855260495e-01
   -2.478521023766120e+01     8.963897085373098e-01
   -2.513510461897090e+01     8.938691556983235e-01
   -2.549106539887807e+01     8.913084105790651e-01
   -2.585325197879649e+01     8.887065245991648e-01
   -2.622183001310083e+01     8.860625154960666e-01
   -2.659697173884847e+01     8.833753657004070e-01
   -2.697885632742658e+01     8.806440206117601e-01
   -2.736767025989335e+01     8.778673867672753e-01
   -2.776360772795160e+01     8.750443298950739e-01
   -2.816687106267743e+01     8.721736728435504e-01
   -2.857767119333739e+01     8.692541933768899e-01
   -2.899622813885670e+01     8.662846218262402e-01
   -2.942277153476168e+01     8.632636385849632e-01
   -2.985754119870444e+01     8.601898714353089e-01
   -3.030078773800403e+01     8.570618926926040e-01
   -3.075277320299537e+01     8.538782161517185e-01
   -3.121377179038531e+01     8.506372938190236e-01
   -3.168407060126850e+01     8.473375124113798e-01
   -3.216397045896886e+01     8.439771896017891e-01
   -3.265378679244917e+01     8.405545699892425e-01
   -3.315385059168629e+01     8.370678207678804e-01
   -3.366450944214389e+01     8.335150270679669e-01
   -3.418612864631850e+01     8.298941869381067e-01
   -3.471909244127913e+01     8.262032059348097e-01
   -3.526380532221382e+01     8.224398912816127e-01
   -3.582069348322243e+01     8.186019455557041e-01
   -3.639020638802215e+01     8.146869598550002e-01
   -3.697281848484104e+01     8.106924063931150e-01
   -3.756903108164883e+01     8.066156304632270e-01
   -3.817937440001247e+01     8.024538417046331e-01
   -3.880440982834516e+01     7.982041045974299e-01
   -3.944473239818622e+01     7.938633281012251e-01
   -4.010097351047520e+01     7.894282543428386e-01
   -4.077380394266535e+01     7.848954462452559e-01
   -4.146393717204263e+01     7.802612739755108e-01
   -4.217213305591945e+01     7.755219000721940e-01
   -4.289920191559766e+01     7.706732630935789e-01
   -4.364600907833442e+01     7.657110596043645e-01
   -4.441347994022893e+01     7.606307242921000e-01
   -4.520260562324767e+01     7.554274079728169e-01
   -4.601444931188799e+01     7.500959532081442e-01
   -4.685015336966163e+01     7.446308672122370e-01
   -4.771094735322194e+01     7.390262916746171e-01
   -4.859815706323104e+01     7.332759690628626e-01
   -4.951321479684186e+01     7.273732048946863e-01
   -5.045767099804883e+01     7.213108253795556e-01
   -5.143320754055402e+01     7.150811297221168e-01
   -5.244165292500091e+01     7.086758362488503e-01
   -5.348499973080824e+01     7.020860213598885e-01
   -5.456542473543507e+01     6.953020501124767e-01
   -5.568531220476182e+01     6.883134970016656e-01
   -5.684728097267708e+01     6.811090552052724e-01
   -5.805421607305403e+01     6.736764321875682e-01
   -5.930930587261727e+01     6.660022290883011e-01
   -6.061608589175101e+01     6.580718007318725e-01
   -6.197849080990956e+01     6.498690923371919e-01
   -6.340091655767453e+01     6.413764480396285e-01
   -6.488829493332058e+01     6.325743850803759e-01
   -6.644618389713726e+01     6.234413258754807e-01
   -6.808087766237193e+01     6.139532780056738e-01
   -6.979954202037104e+01     6.040834492684167e-01
   -7.161038216144415e+01     5.938017810152244e-01
   -7.352285281077519e+01     5.830743776347859e-01
   -7.554792413988214e+01     5.718628026017613e-01
   -7.769842218352089e+01     5.601232010296761e-01
   -7.998947025669241e+01     5.478051936545708e-01
   -8.243906953899631e+01     5.348504652780925e-01
   -8.506887493398958e+01     5.211909380999301e-01
   -8.790525057684029e+01     5.067463707252763e-01
   -9.098073515545263e+01     4.914211460755129e-01
   -9.433612377812436e+01     4.750998867059121e-01
   -9.802350586430437e+01     4.576413287094432e-01
   -1.021108385002516e+02     4.388695273234717e-01
   -1.066890902771891e+02     4.185608206720158e-01
   -1.118839074225182e+02     3.964237464243205e-01
   -1.178757338636670e+02     3.720666048529226e-01
   -1.249369834465379e+02     3.449418621150959e-01
   -1.335071660650445e+02     3.142432065410334e-01
   -1.443645524237301e+02     2.786938198413024e-01
   -1.590959688565187e+02     2.360389214006301e-01
   -1.818329459342924e+02     1.814838159735762e-01
